word,rating,tag,neighbours,photos
deliverer,3.72,middle,"['deliveryman', 'delivery boy', 'courier']","['51931259666_69d0b30ed6_c.jpg', '51401262405_ec8a6b00db_c.jpg', '24567229804_535560aaf6_c.jpg', '49173263742_ec571918eb_c.jpg', '52784781150_41d06ac906_c.jpg', '49539394781_657f328687_c.jpg', '51036324286_a78887ab31_c.jpg', '53215012146_6127b0a856_c.jpg', '3702395618_6db93d6d03_c.jpg', '51888946147_1233603ed4_c.jpg']"
cohesion,2.16,middle,"['collage', 'coitus', 'structure']","['31455193534_1aac41c3c6_c.jpg', '2589696402_cfcea87933_c.jpg', '5827041453_573c91a471_c.jpg', '52942017327_6dee220ee7_c.jpg', '6795915843_3e922ccff1_c.jpg', '52315725370_c88fdc33fe_c.jpg', '6642869289_febdfc6ff9_c.jpg', '2837124868_0efaa42bd8_c.jpg']"
counterblast,2.62,middle,"['counter', 'blot out', 'bifocals']","['3905271828_97f3ee1f96_c.jpg', '6260556863_e1b6a0cda9_c.jpg', '2840611011_8bda84106f_c.jpg', '259764108_2049830695_c.jpg', '36317252381_aafa1b4759_c.jpg', '51745161010_a1e1e4b64b_c.jpg', '50194473933_84c208d9f2_c.jpg', '8373918342_afd4ddd1a2_c.jpg', '2982064163_c78ee5122e_c.jpg', '3819814494_c3515d5d7b_c.jpg', '55873236_7de4baa22c_c.jpg', '4567643790_f43772ba97_c.jpg']"
featheriness,2.78,middle,"['feather', 'featherbed', 'feather duster']","['50222346887_434d7a9b7d_c.jpg', '53012630150_18548aee7f_c.jpg', '53020724664_3433b444ee_c.jpg', '50355719257_dc131361e5_c.jpg', '7314575160_554892e190_c.jpg', '28673901178_077bebd5df_c.jpg', '51886875211_e9f316b18e_c.jpg', '51887531450_707823b4b1_c.jpg', '3585448072_b62619d2ba_c.jpg', '51735883417_c855dd0e5b_c.jpg', '52517660097_1549f2a4ac_c.jpg', '51736876199_07313c6174_c.jpg']"
hypnosis,2.78,middle,"['hypnotist', 'hyphen', 'sedative']","['3469344836_5f7111d475_c.jpg', '3469345598_40891446ca_c.jpg', '3103143123_ed13564db3_c.jpg', '8679075468_3c2c49562b_c.jpg', '6104650005_0f0659f3e9_c.jpg', '832639841_15585afb4b_c.jpg', '4882889450_aae66c57f8_c.jpg', '51075370758_7c4cf0b3d7_c.jpg', '52385818723_b234539a06_c.jpg', '9488111012_13424847df_c.jpg', '3384711676_220eda5f67_c.jpg']"
newsbeat,2.12,middle,"['newssheet', 'newscast', 'newsman']","['53061347103_a45b33f4f9_c.jpg', '7121070233_1a0241848b_c.jpg', '53060861791_9842f9a5c8_c.jpg', '53060861841_d6aa895cb0_c.jpg', '29571581846_02e972df14_c.jpg', '29204959444_b7ee7ae487_c.jpg', '2967993274_dbf1cf3bdc_c.jpg', '3941590837_6c6be9f49b_c.jpg', '51975325914_55b4bf1391_c.jpg', '2189952835_ea55cdc42b_c.jpg', '16910283647_6ba23dee02_c.jpg']"
definition,3.07,middle,"['dictionary', 'glossary', 'structure']","['50079862463_da710797d8_c.jpg', '51599699519_8fbd60643d_c.jpg', '43194359892_5dc060604b_c.jpg', '208284744_79a6cb6d05_c.jpg', '208284457_13ceea7901_c.jpg', '208284135_8c5bf106d4_c.jpg', '208283820_9f1e5dd826_c.jpg', '52315725370_c88fdc33fe_c.jpg', '2837124868_0efaa42bd8_c.jpg', '8256352790_957c2a3f59_c.jpg', '6642866799_ff2747c182_c.jpg']"
disgracer,2.24,middle,"['curser', 'looter', 'convict']","['3203288562_63e0750924_c.jpg', '3310703558_54892bc316_c.jpg', '5138512600_eca619b108_c.jpg', '24229535383_686b6f18d2_c.jpg', '39837360605_95933b7b41_c.jpg', '34788870804_4856447904_c.jpg', '4763434376_a087c60ae8_c.jpg', '289983634_6cb2ac7165_c.jpg', '19407930592_ce3b4aee0e_c.jpg']"
deflator,3.04,middle,"['defroster', 'reflector', 'adaptor']","['30309459627_68f1199e70_c.jpg', '5738994815_da68ae3cf6_c.jpg', '15951036309_280d71e4fd_c.jpg', '39897798743_5deb67a5c9_c.jpg', '52219600888_07ae125525_c.jpg', '52776615391_700804b045_c.jpg', '20837095166_17bbb0588c_c.jpg', '25320922566_d9ca225312_c.jpg', '3404510299_c5d562830c_c.jpg', '64602837_d8c159c1b5_c.jpg']"
backhandedness,2.46,middle,"['forehand', 'back', 'tennis match']","['52473563922_98f50cc849_c.jpg', '3674586488_1fa4e806b3_c.jpg', '2736209447_5a6946ae5c_c.jpg', '2869689461_fbb3ccce06_c.jpg', '3332400942_6d0b470755_c.jpg', '48792238741_b40367e405_c.jpg', '21912356819_770a3c5e60_c.jpg', '48946024113_1bfab21a33_c.jpg', '39749508932_327acf028c_c.jpg']"
aliveness,2.36,middle,"['flesh', 'breathing', 'lifebuoy']","['9489016090_d8b96f647d_c.jpg', '4261764142_8bf77fa6a0_c.jpg', '4742253538_9fa8225460_c.jpg', '52053901481_bfd4f88cb5_c.jpg', '51921092160_dcdaf05464_c.jpg', '51921083715_04849f1331_c.jpg', '51420319118_616a7171b1_c.jpg', '49615985496_77a7a876d9_c.jpg', '2242612988_3ea24109bd_c.jpg', '51809268317_3064e6024c_c.jpg']"
persecution,2.43,middle,"['asylum', 'congregation', 'monastery']","['17344902885_8dfc6ba1d0_c.jpg', '34349325156_1bf9f242b9_c.jpg', '51717482236_400948abe4_c.jpg', '4346188452_6a0895dc10_c.jpg', '50709818791_6db8ba4857_c.jpg', '3017631930_9de693906f_c.jpg', '31677967264_fd4f6a1c93_c.jpg', '32480937876_23214e45c5_c.jpg', '49752787418_9f48b0cbd3_c.jpg', '51987379130_1d32456a3e_c.jpg', '51987113484_233e5a6358_c.jpg', '52571472075_7d8107885a_c.jpg']"
slouchy,3.29,middle,"['slouching', 'slobber', 'slaw']","['9534566986_638c98a460_c.jpg', '15893167_541dabdbee_c.jpg', '45686895034_552492416e_c.jpg', '466646253_4d564af176_c.jpg', '6387065005_37e9d59e90_c.jpg', '4433602104_532b873d2b_c.jpg', '5730458311_4a684fc8ce_c.jpg', '51093314080_70fe5ac2e1_c.jpg', '5263762972_5e3ac7491a_c.jpg', '2437088475_8896c6bf26_c.jpg', '2437088591_f505c23d0c_c.jpg']"
fucker,2.61,middle,"['asshole', 'shit', 'pucker']","['2728240907_46cddd7ab2_c.jpg', '4930917024_0008e3562f_c.jpg', '2487231231_2fb6ef9d96_c.jpg', '5100215780_67a3b08de7_c.jpg', '3888747769_8e37f3e913_c.jpg', '2551756334_54231629af_c.jpg', '20191180501_3babcd77d2_c.jpg', '51976383471_449071f69f_c.jpg', '6987272834_15318c0445_c.jpg', '239873842_d1ddd3d4ab_c.jpg']"
garner,2.38,middle,"['ridge', 'squire', 'spit']","['7571617988_e20bf10b12_c.jpg', '18056866180_fab2a917c6_c.jpg', '16838627070_c14c7f070c_c.jpg', '11032071994_74c721e362_c.jpg', '26353101188_029b7e8cba_c.jpg', '2594117220_46ac3110d0_c.jpg', '31477759212_a2a98cf52b_c.jpg', '50562737597_ace606fe6c_c.jpg', '4217418317_dda4c86604_c.jpg', '8401169415_8d5e47ca76_c.jpg']"
tonguing,3.58,middle,"['tong', 'tongs', 'grillwork']","['46160253022_63736d4e2d_c.jpg', '49187426418_fd3a730fe7_c.jpg', '53323304875_69570e3968_c.jpg', '51930554492_0224da143f_c.jpg', '50164800931_ca0e2056aa_c.jpg', '34938204195_8406096000_c.jpg', '3396160842_c15bd932db_c.jpg']"
today,2.57,middle,"['daytime', 'daybreak', 'two']","['6798552332_4f22b49129_c.jpg', '52259572884_7c46bfa6bd_c.jpg', '16583749906_f75cbe433f_c.jpg', '50512281993_b353930b2f_c.jpg', '24205686466_dee56e8ecc_c.jpg', '51928696144_7438110937_c.jpg', '16863362754_b2e5211af6_c.jpg', '51894470175_edc9505210_c.jpg', '52105828874_e7f4651f14_c.jpg', '51893700312_9950192987_c.jpg']"
abandoner,2.5,middle,"['looter', 'toss out', 'wreckage']","['5138512600_eca619b108_c.jpg', '24229535383_686b6f18d2_c.jpg', '39837360605_95933b7b41_c.jpg', '34788870804_4856447904_c.jpg', '52608469180_3eff946059_c.jpg', '49451395603_f100e48d58_c.jpg', '6025870112_17677bc257_c.jpg', '50296752968_e00a3bdec1_c.jpg', '50013245283_61ae1d8850_c.jpg', '32959450924_9694953b96_c.jpg', '16700525975_7f656d2310_c.jpg', '50378294068_7175b9f2bf_c.jpg']"
spotter,3.88,middle,"['spot', 'eyepatch', 'spy']","['52297398698_253bc44030_c.jpg', '53252157092_4a789eb050_c.jpg', '3079049605_b735562ca8_c.jpg', '51050988962_4823f85160_c.jpg', '407199723_f8dbce47df_c.jpg', '4066180023_1a2d223e7e_c.jpg', '16266714_c3eff13e43_c.jpg', '4000251199_3d4efa4a09_c.jpg', '8729280968_6516a53f17_c.jpg', '51180465487_5bbbda0e82_c.jpg', '3605196519_787228062a_c.jpg']"
erosion,3.83,middle,"['landslide', 'waterfall', 'floodplain']","['5775777734_fb81c551de_c.jpg', '5524131825_f60d5fcbeb_c.jpg', '2552063560_b9d97b1e4e_c.jpg', '5153065721_d56cf6c561_c.jpg', '15660526661_491f275388_c.jpg', '4575452787_8bfa6fbef7_c.jpg', '9533891951_152aa5200b_c.jpg', '31680729474_6b9f5be8c0_c.jpg', '31680728064_eb39193636_c.jpg', '49634094333_14a67508fa_c.jpg', '51109446478_8fb6ffc87d_c.jpg']"
imperialist,2.36,middle,"['emperor', 'continent', 'country']","['28062563863_c999cdfede_c.jpg', '52989858822_8d56e4795b_c.jpg', '6508075959_7e8a9450a3_c.jpg', '2445689427_208c8ee2ed_c.jpg', '50959245493_6245009c99_c.jpg', '3770276729_8e44e87804_c.jpg', '9405124323_09c0ff090a_c.jpg', '4691567501_e95d8d0715_c.jpg', '50713406902_e45eccdd34_c.jpg', '51799368093_063b94df4f_c.jpg', '21811411454_e73f5b9408_c.jpg', '52431193577_b90ae0ed0c_c.jpg']"
exclamation,2.48,middle,"['exclamation mark', 'upper case', 'comma']","['1557531149_acb2b8c2c5_c.jpg', '889767249_35a46a68a5_c.jpg', '30776312870_074436fa40_c.jpg', '28962809850_fd9dd11dd6_c.jpg', '23339626281_8aec31b091_c.jpg', '52174229744_af1d75136b_c.jpg', '51371965301_9a7319b8f0_c.jpg', '50188740157_cddafc841c_c.jpg', '52264905758_82d793b0fb_c.jpg', '51516351570_ba43519a3e_c.jpg']"
kinkiness,2.07,middle,"['kin', 'snakeskin', 'shank']","['6010322088_b2fa705ab0_c.jpg', '38657435274_692179014f_c.jpg', '51810320880_6638438fb7_c.jpg', '44750739134_4a59821197_c.jpg', '31092061707_e8ff14d43b_c.jpg', '21527876_83075035f0_c.jpg', '3255934477_cc7acde129_c.jpg', '13972461122_b2d68c8a4a_c.jpg', '15929710474_a2517408e0_c.jpg']"
whiney,2.9,middle,"['whiskered', 'wheeze', 'whisker']","['49433268967_16ff1a630e_c.jpg', '52711120135_bbb9ddcca2_c.jpg', '49216957326_0fbe64da77_c.jpg', '47980812661_d75e71b6f6_c.jpg', '30296145618_b824dafae0_c.jpg', '37361967602_ba73970b18_c.jpg', '28793469_e79cd4ebec_c.jpg', '2146858595_3457b8170e_c.jpg', '27120852048_cc6abea7dc_c.jpg', '24828624925_972e5829cd_c.jpg', '44228385294_480499dfe1_c.jpg']"
thirstiness,3.04,middle,"['drinking water', 'tap water', 'water tap']","['3392337580_cb57ae37a3_c.jpg', '3392332976_48616c4e42_c.jpg', '31030370681_b5bfd561ca_c.jpg', '33893929976_2a3ffa7f08_c.jpg', '51965128255_3c68bc2ef5_c.jpg', '50210897743_488b2dce70_c.jpg', '51938359095_bc401f8f7e_c.jpg', '44963618612_e5b05c9cbd_c.jpg', '15933540741_11f5d65beb_c.jpg']"
babysit,3.45,middle,"['babysitter', 'baby sitter', 'nanny']","['28719267940_cc8a08ba3a_c.jpg', '30595605172_defd630bd8_c.jpg', '4511974347_91674c96a2_c.jpg', '53071183457_20ffebb0ba_c.jpg', '2911002697_43620fe415_c.jpg', '3948285398_12c3555716_c.jpg', '3263320336_f3391e9457_c.jpg', '3303338438_230ba14e1e_c.jpg', '6285678469_70a63115a6_c.jpg', '2666468623_b2a831d521_c.jpg', '8417526843_ef94379767_c.jpg']"
slurry,2.76,middle,"['sludge', 'slobber', 'slat']","['5529703333_519051ac84_c.jpg', '5530292928_49ab4c9e4e_c.jpg', '5529706075_b29b115481_c.jpg', '5530291766_812aee8f78_c.jpg', '5730458311_4a684fc8ce_c.jpg', '466646253_4d564af176_c.jpg', '6387065005_37e9d59e90_c.jpg', '4433602104_532b873d2b_c.jpg', '51973570730_ce6a571076_c.jpg', '51813169130_c61339063b_c.jpg', '23866054747_ac9b84757f_c.jpg']"
antitoxin,3.16,middle,"['antibiotic', 'antibiotics', 'poison']","['3060243118_f22ac2d56a_c.jpg', '23306185171_096f366f0e_c.jpg', '39714204254_d5eb5f678d_c.jpg', '48758489162_a3dff890cd_c.jpg', '3060243118_f22ac2d56a_c.jpg', '23306185171_096f366f0e_c.jpg', '39714204254_d5eb5f678d_c.jpg', '48758489162_a3dff890cd_c.jpg', '34443381754_4b7bc84e4e_c.jpg', '51407113128_d1925fafbe_c.jpg']"
essayist,3.32,middle,"['writer', 'poet', 'author']","['18644728682_955a5d6ff9_c.jpg', '40518750793_2a4bd20ede_c.jpg', '9834468743_229d221013_c.jpg', '3353935596_d4e095bf85_c.jpg', '24925109421_bff345ebc0_c.jpg', '5895522883_f365b42a11_c.jpg', '52250445795_650ca8cb8d_c.jpg', '5296125584_df06452451_c.jpg', '49618758706_98f2543a73_c.jpg']"
position,2.62,middle,"['stance', 'lotus position', 'structure']","['14875390696_c5693a3140_c.jpg', '35504119100_ae32c00a9a_c.jpg', '14786965156_4f242e38c7_c.jpg', '5831487900_499d349256_c.jpg', '51608030649_916968c1bd_c.jpg', '951132560_648a893d2a_c.jpg', '50307017382_583fdbf9a3_c.jpg', '52315725370_c88fdc33fe_c.jpg', '2837124868_0efaa42bd8_c.jpg', '64453915_264f85e390_c.jpg', '8256352790_957c2a3f59_c.jpg']"
detoxifier,2.77,middle,"['deodorizer', 'cleanser', 'dehumidifier']","['17268533845_d7b40276e4_c.jpg', '1931668188_2591e5c9af_c.jpg', '6838912479_eb28655b5f_c.jpg', '4386913545_df33dd3cb0_c.jpg', '49831835481_fe8dfa359e_c.jpg', '310045218_ae6c6c1e12_c.jpg', '53054727353_68aefe305a_c.jpg', '609144991_54316053c6_c.jpg', '3561471106_af2b605c40_c.jpg', '2880013584_2fdc56f16f_c.jpg']"
unreason,2.28,middle,"['retriever', 'unshaved', 'unpaved']","['49138706401_ddca17f371_c.jpg', '3466209653_ec71785dac_c.jpg', '50407921903_373c7ee2df_c.jpg', '51106549476_16a17440f8_c.jpg', '1805927836_7a2e7a83df_c.jpg', '3593714178_b6d5ce2d9b_c.jpg', '3289216526_8f20f134d5_c.jpg', '43092868091_cb947efffb_c.jpg', '52759288034_399f11a45e_c.jpg', '37001975791_e73d833a5a_c.jpg', '52963460952_287f9307db_c.jpg', '49425950368_a6d9b8c4dd_c.jpg']"
fornication,3.66,middle,"['sex', 'masturbation', 'sextant']","['12489433594_438cd0e110_c.jpg', '55094953_f0ad41ac74_c.jpg', '8392561873_5e436a1c89_c.jpg', '36116755623_e8e3f9a3c0_c.jpg']"
researcher,3.81,middle,"['investigator', 'scientist', 'analyst']","['28622136991_cfac098378_c.jpg', '27991957403_4a6afa3853_c.jpg', '28497419111_38a090f7e8_c.jpg', '37209556324_557ecd6306_c.jpg', '2475077766_b6b70d47e6_c.jpg', '31290455241_95ac39f7be_c.jpg', '6749015797_db3ca8060f_c.jpg', '51719025829_ef69697b47_c.jpg', '6841397002_09cda16c84_c.jpg', '8413956286_d7e000b5b9_c.jpg']"
speechless,2.41,middle,"['eyeless', 'whispered', 'blind']","['337759685_b415b39989_c.jpg', '4186600030_15dccd4424_c.jpg', '51977224278_3746467e2f_c.jpg', '23331398080_f8331d47c5_c.jpg', '8708176631_3383fe4ac2_c.jpg', '15496109791_41c3913edf_c.jpg', '2236947878_204f08f04c_c.jpg', '2243888031_f64fc4d990_c.jpg', '2056641700_d8a41c2407_c.jpg']"
deployment,2.9,middle,"['camouflage', 'army', 'shipment']","['51224012163_eef7656143_c.jpg', '32342686915_d819b142e2_c.jpg', '52340348068_06e68d5291_c.jpg', '50294843816_328d007cf0_c.jpg', '8345802950_2bf6c21269_c.jpg', '5930853632_b58b8ac658_c.jpg', '33177696412_c2aee5c993_c.jpg', '5374842057_5e348eb40a_c.jpg']"
spatter,3.63,middle,"['spatula', 'spittle', 'spitting']","['2247239211_c247445d8b_c.jpg', '51094531419_1926697fb9_c.jpg', '345696436_5878c7a1e9_c.jpg', '4634467784_c5528de241_c.jpg', '5095262153_e20339401f_c.jpg', '27093565604_b1008e1213_c.jpg', '50562737597_ace606fe6c_c.jpg', '4217418317_dda4c86604_c.jpg', '8401169415_8d5e47ca76_c.jpg']"
sexploitation,2.42,middle,"['sextuplet', 'sextant', 'sex']","['53055547599_d97a15ac65_c.jpg', '49960795327_574821d7b3_c.jpg', '52954706738_aae7a2c262_c.jpg', '53304490424_3e3e0ce265_c.jpg', '12489433594_438cd0e110_c.jpg', '55094953_f0ad41ac74_c.jpg', '8392561873_5e436a1c89_c.jpg', '36116755623_e8e3f9a3c0_c.jpg']"
resift,2.83,middle,"['refold', 'spareribs', 'tarred']","['6488335061_693f68457e_c.jpg', '27370733925_d41ae60a8c_c.jpg', '26180350138_696f5a9324_c.jpg', '26763152354_59195920b8_c.jpg', '10565335744_f374462a29_c.jpg', '5453277787_de3e8a649a_c.jpg', '39428133_e861f7fc06_c.jpg', '909772852_0e9c998628_c.jpg', '7925499374_424f965482_c.jpg', '4202170049_b3881c2d54_c.jpg', '25708557264_8701b8242a_c.jpg', '11473928783_7113cbddcb_c.jpg']"
teeter,2.93,middle,"['teeterboard', 'tee', 'teepee']","['46826430302_ce1c409d2d_c.jpg', '4361867418_995aa07dd2_c.jpg', '26763510396_c25bfc1679_c.jpg', '52022254590_c1fa1f6f38_c.jpg', '2243420901_d5f377cc0e_c.jpg', '58997429_70a8d3d69c_c.jpg', '29472306347_9018695eaf_c.jpg', '52149539730_c1d0212b86_c.jpg', '7538908648_0048dd6653_c.jpg']"
speechlessness,2.5,middle,"['whispered', 'wept', 'crying']","['51977224278_3746467e2f_c.jpg', '51091869779_0f00bf36dd_c.jpg', '8708176631_3383fe4ac2_c.jpg', '467801831_c760a16f74_c.jpg', '1192515269_e6537aa55c_c.jpg', '37280562576_720fdaa733_c.jpg', '49902434242_da1d71069f_c.jpg', '51597791574_bc847e9670_c.jpg', '51406704734_53d86bcc4e_c.jpg', '2322044334_d8c69bb64d_c.jpg', '4147184845_75045d25ed_c.jpg', '6054713889_7f13de9a93_c.jpg']"
signaler,3.76,middle,"['signalman', 'turn signal', 'transmitter']","['23702673976_89d8e8e9db_c.jpg', '49734401196_09ffa54a85_c.jpg', '897664368_eb9175db0d_c.jpg', '650874685_ffac031120_c.jpg', '46227495925_c0a75b2f68_c.jpg', '27724662934_31cfc69955_c.jpg', '52471880062_7385f6af06_c.jpg', '51852084400_68e27683a7_c.jpg', '52527893754_b46f2846af_c.jpg', '281994970_4dd9ffa80f_c.jpg', '305888333_b1029f3d4f_c.jpg', '4602282669_c4bc82f75b_c.jpg']"
commoner,3.79,middle,"['villager', 'parishioner', 'servant']","['22878095805_1a8f04f721_c.jpg', '9159870205_85e6df97bb_c.jpg', '32561402176_5ed4f79053_c.jpg', '4763483224_45d3fce77f_c.jpg', '50890459133_27c467ae4d_c.jpg', '14166141893_6529c1cbbd_c.jpg', '50638989776_8cf2527544_c.jpg', '48374961291_8ccf1e29b7_c.jpg', '27150376074_65ed7153fe_c.jpg', '27688218401_1ba5c6c32b_c.jpg', '27150392214_baede8ba25_c.jpg', '27151430123_bbbec4dbaf_c.jpg']"
sinister,2.38,middle,"['dark', 'venom', 'curser']","['50137320947_7baab9fe20_c.jpg', '8214023172_3db05f6f7b_c.jpg', '4033292123_57d1282941_c.jpg', '2056444036_fc51afa82b_c.jpg', '3434302659_1d1e2c570d_c.jpg', '27537358626_235da5ec49_c.jpg', '3203288562_63e0750924_c.jpg', '3310703558_54892bc316_c.jpg']"
atmosphere,3.04,middle,"['air', 'aerosol', 'sky']","['29010101116_23383c2275_c.jpg', '14933705782_830284db85_c.jpg', '3028850566_d8ef73a202_c.jpg', '10241705474_6f8ee9f2cf_c.jpg', '52977529896_ae8d56fb95_c.jpg', '7141589739_a91a7d3f69_c.jpg', '8244435934_87c91a0237_c.jpg', '25145185078_29983f419f_c.jpg', '32680817005_0139d0bc16_c.jpg', '9581144080_3613848798_c.jpg', '31709178780_34becbc38f_c.jpg', '14473561447_b59017b14f_c.jpg']"
forage,3.12,middle,"['herbivore', 'weed', 'crop']","['3866599533_42f3f30a22_c.jpg', '3888952747_cd8db97d62_c.jpg', '6830003068_b4e48cec9c_c.jpg', '35435577391_699906152a_c.jpg', '52886063715_b64e90d6a7_c.jpg', '36253354821_e16305959f_c.jpg', '14209742881_74d54fce37_c.jpg', '14189900006_a93f037964_c.jpg']"
transcription,3.32,middle,"['transcript', 'chromosome', 'transcriber']","['31494293847_1809721582_c.jpg', '53140805349_5780560713_c.jpg', '35108985851_3bdd38a337_c.jpg', '6842298171_b3c96f1ea7_c.jpg', '529617579_9a00424ac3_c.jpg', '50033296312_595abfdcf4_c.jpg', '5869370229_327af7c147_c.jpg', '52188113233_25e81e0c96_c.jpg', '2876465443_04afe50df2_c.jpg']"
poetry,3.5,middle,"['poem', 'poet', 'written']","['50886532547_bf122df39f_c.jpg', '51008041907_7df7bea23b_c.jpg', '52274856206_102845d74e_c.jpg', '2111509182_3948308fe5_c.jpg', '24925109421_bff345ebc0_c.jpg', '8641302642_baabb8f577_c.jpg', '23403088464_e9a5dc415a_c.jpg', '5895522883_f365b42a11_c.jpg', '7068806569_1d13eeb8e9_c.jpg', '15506414828_412c0b0aae_c.jpg', '24984592357_9c168c007f_c.jpg', '27401455175_d342d03d64_c.jpg']"
handiness,2.27,middle,"['hand', 'handclap', 'handgrip']","['3946641528_7c86f47769_c.jpg', '7138822379_c9941a8b5d_c.jpg', '27563116172_28b2334873_c.jpg', '29939228640_cf21c93143_c.jpg', '5860961260_24d0fb5083_c.jpg', '11168244273_162850780f_c.jpg', '5371332094_1f408a5523_c.jpg', '2677105729_23507df057_c.jpg', '25626168582_414ac80fc7_c.jpg', '38374181664_b295bfc393_c.jpg', '51696832494_fdba30ff39_c.jpg']"
